name,description,category,latitude,longitude,address,rating,opening_hours,entry_fee,tags
Amber Fort,A magnificent hilltop fortress with stunning architecture and elephant rides,Historical Monument,26.9855,75.8513,"Devisinghpura, Amer, Jaipur",4.5,8:00 AM - 5:30 PM,INR 200 (Indian) / INR 500 (Foreigner),"fort,history,architecture,unesco"
Hawa Mahal,The iconic Palace of Winds with 953 small windows,Historical Monument,26.9239,75.8267,"Hawa Mahal Rd, Badi Choupad, Jaipur",4.4,9:00 AM - 5:00 PM,INR 50 (Indian) / INR 200 (Foreigner),"palace,architecture,landmark,photography"
City Palace,A grand palace complex with museums and courtyards,Palace,26.9258,75.8237,"Tulsi Marg, Gangori Bazaar, Jaipur",4.3,9:30 AM - 5:00 PM,INR 200 (Indian) / INR 700 (Foreigner),"palace,museum,royal,culture"
Jantar Mantar,An astronomical observatory with 19 instruments,Observatory,26.9247,75.8249,"Gangori Bazaar, J.D.A. Market, Jaipur",4.4,9:00 AM - 5:00 PM,INR 50 (Indian) / INR 200 (Foreigner),"science,observatory,unesco,heritage"
Nahargarh Fort,A hilltop fort offering panoramic views of Jaipur,Fort,26.9342,75.8153,"Krishna Nagar, Brahampuri, Jaipur",4.3,10:00 AM - 5:30 PM,INR 50 (Indian) / INR 200 (Foreigner),"fort,viewpoint,sunset,nature"
Jaigarh Fort,A military fort known for the world's largest cannon on wheels,Fort,26.9852,75.8631,"Devisinghpura, Amer, Jaipur",4.2,9:00 AM - 5:00 PM,INR 35 (Indian) / INR 85 (Foreigner),"fort,history,military,cannon"
Jal Mahal,A beautiful palace in the middle of Man Sagar Lake,Palace,26.9539,75.8461,"Amer Road, Jaipur",4.3,Open 24 hours (view from outside),Free (viewing from shore),"palace,lake,photography,scenic"
Albert Hall Museum,The oldest museum in Rajasthan with diverse collections,Museum,26.9116,75.8189,"Ram Niwas Garden, Jaipur",4.3,9:00 AM - 5:00 PM,INR 40 (Indian) / INR 300 (Foreigner),"museum,art,culture,artifacts"
Birla Mandir,A white marble Hindu temple dedicated to Lord Vishnu and Goddess Lakshmi,Temple,26.8952,75.8009,"Tilak Nagar, Jaipur",4.4,6:00 AM - 12:00 PM & 3:00 PM - 9:00 PM,Free,"temple,religious,marble,architecture"
Sisodia Rani Garden,A beautiful garden with fountains and painted pavilions,Garden,26.8729,75.8793,"Jaipur-Agra Road, Jaipur",4.2,8:00 AM - 6:00 PM,INR 10 (Indian) / INR 50 (Foreigner),"garden,nature,relaxation,fountains"
Galtaji Temple,An ancient Hindu pilgrimage site with natural springs,Temple,26.9346,75.8594,"Galta Pol Road, Jaipur",4.3,5:00 AM - 9:00 PM,Free,"temple,religious,monkeys,hiking"
Chokhi Dhani,A traditional Rajasthani village resort offering cultural experiences,Cultural Village,26.7852,75.7219,"Tonk Road, 12 miles, Jaipur",4.0,5:00 PM - 11:00 PM,INR 700 (with dinner),"culture,village,food,entertainment"
Rambagh Palace,A former royal palace converted into a luxury heritage hotel,Heritage Hotel,26.8935,75.7881,"Bhawani Singh Road, Jaipur",4.5,Open for hotel guests and restaurant visitors,Varies,"palace,hotel,luxury,dining"
Jawahar Circle Garden,Asia's largest circular park with a beautiful musical fountain,Park,26.8693,75.7711,"Jawahar Circle, Malviya Nagar, Jaipur",4.2,5:00 AM - 10:00 PM,Free,"park,garden,fountain,jogging"
Bapu Bazaar,A vibrant market famous for textiles and handicrafts,Market,26.9197,75.8195,"Bapu Bazaar, Jaipur",4.1,10:00 AM - 9:00 PM,Free (shopping),"shopping,market,textiles,handicrafts"
Johari Bazaar,The jewelry market known for traditional Rajasthani jewelry,Market,26.9265,75.8241,"Johari Bazaar, Jaipur",4.2,10:00 AM - 9:00 PM,Free (shopping),"shopping,jewelry,market,gems"
Tripolia Bazaar,A market famous for lac jewelry and traditional items,Market,26.9258,75.8211,"Tripolia Bazaar, Jaipur",4.0,10:00 AM - 8:00 PM,Free (shopping),"shopping,market,jewelry,lac"
Central Park,A large urban park with jogging tracks and a flag,Park,26.9176,75.7892,"Sector 5, Jaipur",4.1,5:00 AM - 9:00 PM,Free,"park,jogging,recreation,flag"
Statue Circle,A landmark roundabout with a statue of Sawai Jai Singh II,Landmark,26.9147,75.7871,"C-Scheme, Jaipur",3.9,Open 24 hours,Free,"landmark,statue,central"
World Trade Park,A modern shopping mall with entertainment options,Shopping Mall,26.8970,75.7932,"Jawahar Lal Nehru Marg, Jaipur",4.2,11:00 AM - 10:00 PM,Free (shopping),"shopping,mall,entertainment,dining"
